UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
O35704,SPTC1_MOUSE,Serine palmitoyltransferase 1 OS=Mus musculus GN=Sptlc1 PE=2 SV=2 - [SPTC1_MOUSE],8,5,9,7,0.000,0.066,0.090,0.048,0.220,0.197,0.089,0.179,0.000,0.112,0.007,0.071,0.082,0.152,0.225,0.219,0.145,0.062,0.012,0.026,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.786,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
O54916,REPS1_MOUSE,RalBP1-associated Eps domain-containing protein 1 OS=Mus musculus GN=Reps1 PE=1 SV=2 - [REPS1_MOUSE],8,8,9,10,0.100,0.223,0.107,0.068,0.083,0.192,0.118,0.045,0.022,0.042,0.100,0.162,0.113,0.115,0.127,0.166,0.142,0.041,0.015,0.019,unknown,unknown,unknown,unknown,Plasma membrane,0.190,unclassified,unclassified,N,,,Exocyst-related,,,,,,
O70456,1433S_MOUSE,14-3-3 protein sigma OS=Mus musculus GN=Sfn PE=1 SV=2 - [1433S_MOUSE],8,8,9,10,0.377,0.216,0.155,0.081,0.069,0.065,0.024,0.008,0.000,0.005,0.329,0.119,0.159,0.103,0.118,0.086,0.043,0.021,0.010,0.013,unknown,Phenotype 5,unknown,unknown,Cytosol,0.712,unclassified,Cytosol,N,,,,,,,,,
O88708,ORC4_MOUSE,Origin recognition complex subunit 4 OS=Mus musculus GN=Orc4 PE=1 SV=2 - [ORC4_MOUSE],8,5,9,6,0.024,0.004,0.004,0.000,0.012,0.036,0.090,0.322,0.234,0.275,0.024,0.005,0.010,0.006,0.017,0.063,0.103,0.279,0.368,0.126,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,Origin recognition complex (ORC),,,,,
P36552,HEM6_MOUSE,"Coproporphyrinogen-III oxidase, mitochondrial OS=Mus musculus GN=Cpox PE=1 SV=2 - [HEM6_MOUSE]",8,7,9,9,0.030,0.018,0.033,0.022,0.050,0.104,0.185,0.339,0.000,0.220,0.021,0.019,0.019,0.025,0.042,0.102,0.404,0.213,0.031,0.124,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P83870,PHF5A_MOUSE,PHD finger-like domain-containing protein 5A OS=Mus musculus GN=Phf5a PE=1 SV=1 - [PHF5A_MOUSE],8,5,9,9,0.248,0.027,0.039,0.009,0.026,0.022,0.053,0.091,0.272,0.212,0.160,0.017,0.022,0.014,0.018,0.019,0.027,0.027,0.297,0.399,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.832,unclassified,Nucleus - Non-chromatin,N,,,,Spliceosome,,,,,
Q3TFD2,PCAT1_MOUSE,Lysophosphatidylcholine acyltransferase 1 OS=Mus musculus GN=Lpcat1 PE=1 SV=1 - [PCAT1_MOUSE],8,13,9,16,0.000,0.077,0.085,0.059,0.197,0.167,0.086,0.191,0.000,0.137,0.001,0.072,0.098,0.128,0.205,0.236,0.139,0.084,0.014,0.023,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.825,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q3TJD7,PDLI7_MOUSE,PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1 - [PDLI7_MOUSE],8,6,9,6,0.107,0.189,0.113,0.058,0.086,0.100,0.069,0.105,0.069,0.104,0.092,0.123,0.080,0.094,0.106,0.123,0.101,0.050,0.107,0.122,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.159,unclassified,unclassified,N,,,,,,,,,
Q3ULF4,SPG7_MOUSE,Paraplegin OS=Mus musculus GN=Spg7 PE=1 SV=1 - [SPG7_MOUSE],8,11,9,14,0.000,0.003,0.007,0.013,0.030,0.110,0.275,0.251,0.078,0.233,0.002,0.016,0.021,0.024,0.032,0.096,0.367,0.220,0.091,0.131,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q5SSL4,ABR_MOUSE,Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr PE=2 SV=1 - [ABR_MOUSE]|Isoform 3 of Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr - [ABR_MOUSE]|Isoform 4 of Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr - [ABR_MOUSE],8,14,9,15,0.125,0.336,0.202,0.109,0.090,0.079,0.034,0.025,0.000,0.000,0.111,0.193,0.166,0.154,0.149,0.113,0.044,0.020,0.012,0.038,unknown,Phenotype 9,unknown,unknown,Actin cytoskeleton,0.610,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q61072,ADAM9_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus GN=Adam9 PE=1 SV=2 - [ADAM9_MOUSE],8,10,9,12,0.000,0.163,0.192,0.129,0.229,0.173,0.073,0.024,0.000,0.018,0.002,0.110,0.137,0.189,0.235,0.205,0.077,0.027,0.014,0.005,unknown,unknown,unknown,unknown,Plasma membrane,0.321,unclassified,unclassified,N,,,,,,,,,
Q6PAL0,BEND3_MOUSE,BEN domain-containing protein 3 OS=Mus musculus GN=Bend3 PE=2 SV=1 - [BEND3_MOUSE],8,8,9,9,0.011,0.009,0.000,0.000,0.000,0.021,0.086,0.321,0.233,0.318,0.010,0.007,0.008,0.008,0.012,0.051,0.132,0.252,0.434,0.086,unknown,Phenotype 1,unknown,unknown,Nucleus - Chromatin,0.883,unclassified,Nucleus - Chromatin,Y,,,,,,,,,
Q6PGH2,HN1L_MOUSE,Hematological and neurological expressed 1-like protein OS=Mus musculus GN=Hn1l PE=2 SV=1 - [HN1L_MOUSE],8,8,9,10,0.170,0.071,0.071,0.037,0.048,0.056,0.074,0.221,0.060,0.191,0.237,0.087,0.096,0.082,0.086,0.080,0.069,0.072,0.083,0.108,unknown,unknown,unknown,unknown,60S Ribosome,0.263,unclassified,unclassified,N,,,,,,,,,
Q7TQE6,MACOI_MOUSE,Macoilin OS=Mus musculus GN=Tmem57 PE=2 SV=1 - [MACOI_MOUSE],8,11,9,12,0.000,0.039,0.063,0.032,0.097,0.265,0.154,0.173,0.050,0.127,0.006,0.059,0.081,0.114,0.160,0.228,0.166,0.103,0.050,0.033,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.944,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8BYY4,TT39B_MOUSE,Tetratricopeptide repeat protein 39B OS=Mus musculus GN=Ttc39b PE=1 SV=1 - [TT39B_MOUSE],8,6,9,8,0.118,0.037,0.055,0.034,0.094,0.119,0.121,0.213,0.036,0.172,0.098,0.053,0.077,0.110,0.154,0.195,0.129,0.116,0.022,0.045,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.662,unclassified,unclassified,Y,,,,,,,,,
Q8C166,CPNE1_MOUSE,Copine-1 OS=Mus musculus GN=Cpne1 PE=1 SV=1 - [CPNE1_MOUSE],8,5,9,6,0.402,0.163,0.147,0.071,0.085,0.052,0.024,0.024,0.012,0.020,0.387,0.095,0.111,0.094,0.119,0.069,0.043,0.023,0.023,0.035,unknown,Phenotype 5,unknown,unknown,Cytosol,0.862,Cytosol,Cytosol,N,,,,,,,,,
Q8C8U0,LIPB1_MOUSE,Liprin-beta-1 OS=Mus musculus GN=Ppfibp1 PE=1 SV=3 - [LIPB1_MOUSE],8,15,9,19,0.024,0.216,0.147,0.097,0.105,0.176,0.080,0.068,0.026,0.060,0.018,0.128,0.128,0.126,0.136,0.219,0.144,0.055,0.026,0.021,unknown,unknown,unknown,unknown,Plasma membrane,0.369,unclassified,unclassified,Y,,,,,,,,,
Q9CXF4,TBC15_MOUSE,TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1 - [TBC15_MOUSE],8,11,9,17,0.393,0.161,0.141,0.058,0.052,0.059,0.047,0.036,0.015,0.038,0.329,0.113,0.138,0.116,0.108,0.075,0.044,0.027,0.021,0.029,unknown,unknown,unknown,unknown,Cytosol,0.803,unclassified,Cytosol,N,,,,,,,,,
Q9CZV8,FXL20_MOUSE,F-box/LRR-repeat protein 20 OS=Mus musculus GN=Fbxl20 PE=1 SV=3 - [FXL20_MOUSE],8,9,9,13,0.004,0.214,0.175,0.109,0.193,0.112,0.053,0.068,0.011,0.061,0.009,0.193,0.131,0.141,0.196,0.151,0.111,0.037,0.013,0.017,unknown,unknown,unknown,unknown,Plasma membrane,0.800,unclassified,Plasma membrane,Y,,,,,,,,,
Q9D1B9,RM28_MOUSE,"39S ribosomal protein L28, mitochondrial OS=Mus musculus GN=Mrpl28 PE=2 SV=3 - [RM28_MOUSE]",8,6,9,11,0.000,0.018,0.018,0.003,0.026,0.095,0.336,0.236,0.055,0.213,0.000,0.009,0.010,0.016,0.023,0.100,0.321,0.299,0.085,0.136,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D7B6,ACAD8_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acad8 PE=2 SV=2 - [ACAD8_MOUSE]",8,8,9,8,0.003,0.018,0.024,0.013,0.033,0.102,0.248,0.283,0.018,0.259,0.002,0.014,0.013,0.021,0.030,0.109,0.390,0.246,0.038,0.137,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9DCD2,SYF1_MOUSE,Pre-mRNA-splicing factor SYF1 OS=Mus musculus GN=Xab2 PE=2 SV=1 - [SYF1_MOUSE],8,14,9,19,0.179,0.007,0.027,0.000,0.022,0.020,0.044,0.138,0.330,0.234,0.108,0.012,0.023,0.017,0.022,0.031,0.037,0.040,0.257,0.454,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.793,unclassified,Nucleus - Non-chromatin,N,,,,Spliceosome,,,,,
Q9EQK5,MVP_MOUSE,Major vault protein OS=Mus musculus GN=Mvp PE=1 SV=4 - [MVP_MOUSE],8,9,9,10,0.366,0.119,0.085,0.037,0.044,0.036,0.010,0.035,0.000,0.267,0.247,0.091,0.097,0.081,0.074,0.063,0.026,0.021,0.016,0.283,unknown,unknown,unknown,unknown,40S Ribosome,0.337,unclassified,unclassified,N,,,,,,,,,
Q9JLB2,MPP5_MOUSE,MAGUK p55 subfamily member 5 OS=Mus musculus GN=Mpp5 PE=1 SV=1 - [MPP5_MOUSE],8,9,9,10,0.010,0.227,0.178,0.118,0.177,0.120,0.053,0.055,0.019,0.044,0.016,0.114,0.117,0.171,0.224,0.187,0.094,0.035,0.020,0.021,unknown,unknown,unknown,unknown,Plasma membrane,0.660,unclassified,Plasma membrane,N,,,,,,,,,
A2ALU4,SHRM2_MOUSE,Protein Shroom2 OS=Mus musculus GN=Shroom2 PE=1 SV=1 - [SHRM2_MOUSE],8,12,8,15,0.046,0.266,0.135,0.079,0.140,0.122,0.090,0.048,0.041,0.035,0.032,0.137,0.107,0.113,0.116,0.200,0.145,0.049,0.050,0.051,unknown,unknown,unknown,unknown,Plasma membrane,0.354,unclassified,unclassified,N,,,,,,,,,
O55106,STRN_MOUSE,Striatin OS=Mus musculus GN=Strn PE=1 SV=2 - [STRN_MOUSE],8,7,8,10,0.052,0.094,0.108,0.051,0.195,0.196,0.083,0.130,0.007,0.083,0.039,0.068,0.110,0.139,0.206,0.225,0.108,0.058,0.022,0.025,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.600,unclassified,unclassified,N,,,,,,,,,
O70305,ATX2_MOUSE,Ataxin-2 OS=Mus musculus GN=Atxn2 PE=1 SV=1 - [ATX2_MOUSE],8,12,8,19,0.305,0.071,0.075,0.026,0.058,0.072,0.041,0.100,0.053,0.199,0.187,0.042,0.061,0.040,0.046,0.070,0.065,0.049,0.088,0.352,unknown,40S Ribosome,unknown,unknown,40S Ribosome,0.805,40S Ribosome,40S Ribosome,N,,,,,,,,Prey,
O88532,ZFR_MOUSE,Zinc finger RNA-binding protein OS=Mus musculus GN=Zfr PE=1 SV=2 - [ZFR_MOUSE],8,14,8,17,0.159,0.013,0.027,0.000,0.013,0.023,0.033,0.060,0.540,0.133,0.100,0.020,0.022,0.023,0.031,0.039,0.041,0.032,0.416,0.276,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.869,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,Prey,,
O88746,TOM1_MOUSE,Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1 - [TOM1_MOUSE],8,10,8,10,0.125,0.150,0.170,0.116,0.290,0.092,0.049,0.009,0.000,0.000,0.119,0.148,0.132,0.168,0.210,0.123,0.070,0.012,0.005,0.013,unknown,unknown,unknown,unknown,Plasma membrane,0.299,unclassified,unclassified,N,,,,,,,,,
Q2YDW2,MSTO1_MOUSE,Protein misato homolog 1 OS=Mus musculus GN=Msto1 PE=2 SV=1 - [MSTO1_MOUSE],8,6,8,6,0.385,0.114,0.078,0.045,0.074,0.046,0.027,0.105,0.007,0.119,0.262,0.104,0.119,0.097,0.105,0.076,0.065,0.039,0.029,0.103,unknown,unknown,unknown,unknown,Cytosol,0.260,unclassified,unclassified,N,,,,,,,,,
Q61136,PRP4B_MOUSE,Serine/threonine-protein kinase PRP4 homolog OS=Mus musculus GN=Prpf4b PE=1 SV=3 - [PRP4B_MOUSE],8,11,8,16,0.247,0.016,0.026,0.007,0.025,0.030,0.035,0.063,0.343,0.208,0.154,0.017,0.025,0.022,0.031,0.041,0.038,0.029,0.313,0.330,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.917,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q61464-4,ZN638_MOUSE,Isoform 4 of Zinc finger protein 638 OS=Mus musculus GN=Znf638 - [ZN638_MOUSE],8,7,8,7,0.178,0.013,0.028,0.006,0.016,0.035,0.078,0.225,0.209,0.211,0.152,0.011,0.022,0.009,0.019,0.032,0.063,0.118,0.416,0.159,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.717,unclassified,Nucleus - Chromatin,N,,,,,,,,,
Q6P3Y5,Z280C_MOUSE,Zinc finger protein 280C OS=Mus musculus GN=Znf280c PE=2 SV=1 - [Z280C_MOUSE],8,5,8,5,0.072,0.007,0.030,0.009,0.022,0.042,0.126,0.227,0.216,0.250,0.041,0.005,0.008,0.015,0.013,0.041,0.092,0.209,0.452,0.125,unknown,Phenotype 1,unknown,unknown,Nucleus - Chromatin,0.896,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
Q6PGF7,EXOC8_MOUSE,Exocyst complex component 8 OS=Mus musculus GN=Exoc8 PE=1 SV=1 - [EXOC8_MOUSE],8,10,8,10,0.033,0.385,0.197,0.107,0.101,0.099,0.037,0.015,0.018,0.009,0.033,0.213,0.164,0.163,0.160,0.134,0.059,0.025,0.032,0.016,unknown,unknown,unknown,unknown,Plasma membrane,0.766,unclassified,Plasma membrane,N,,,Exocyst,Exocyst,,,,,
Q6ZPY7,KDM3B_MOUSE,Lysine-specific demethylase 3B OS=Mus musculus GN=Kdm3b PE=1 SV=2 - [KDM3B_MOUSE],8,12,8,13,0.208,0.025,0.042,0.004,0.022,0.048,0.108,0.213,0.102,0.228,0.259,0.025,0.046,0.036,0.039,0.048,0.058,0.119,0.201,0.170,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.215,unclassified,unclassified,N,,,,,,,,,
Q80TE0,RPAP1_MOUSE,RNA polymerase II-associated protein 1 OS=Mus musculus GN=Rpap1 PE=1 SV=2 - [RPAP1_MOUSE],8,12,8,13,0.396,0.103,0.088,0.043,0.054,0.034,0.034,0.113,0.021,0.114,0.303,0.116,0.100,0.087,0.117,0.063,0.056,0.050,0.027,0.082,unknown,unknown,unknown,unknown,Proteasome,0.279,unclassified,unclassified,N,,,,,,,,,
Q8BWY9,CIP2A_MOUSE,Protein CIP2A OS=Mus musculus GN=Kiaa1524 PE=2 SV=3 - [CIP2A_MOUSE],8,15,8,15,0.538,0.090,0.098,0.043,0.066,0.047,0.023,0.044,0.000,0.050,0.332,0.101,0.121,0.090,0.104,0.079,0.047,0.030,0.043,0.053,unknown,unknown,unknown,unknown,Proteasome,0.405,unclassified,unclassified,N,,,,,,,,,
Q8R422,CD109_MOUSE,CD109 antigen OS=Mus musculus GN=Cd109 PE=2 SV=1 - [CD109_MOUSE],8,12,8,16,0.000,0.373,0.213,0.120,0.112,0.093,0.034,0.023,0.011,0.021,0.004,0.172,0.150,0.210,0.195,0.142,0.070,0.028,0.019,0.011,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.830,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q921X9,PDIA5_MOUSE,Protein disulfide-isomerase A5 OS=Mus musculus GN=Pdia5 PE=2 SV=1 - [PDIA5_MOUSE],8,8,8,11,0.003,0.034,0.046,0.031,0.080,0.307,0.196,0.150,0.030,0.123,0.008,0.038,0.063,0.093,0.157,0.254,0.216,0.097,0.042,0.032,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CXJ1,SYEM_MOUSE,"Probable glutamate--tRNA ligase, mitochondrial OS=Mus musculus GN=Ears2 PE=2 SV=1 - [SYEM_MOUSE]",8,10,8,12,0.000,0.022,0.029,0.014,0.027,0.090,0.321,0.251,0.022,0.222,0.003,0.008,0.018,0.022,0.027,0.118,0.350,0.285,0.031,0.137,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,Mitochondrial tRNA ligase,,,,,
Q9EPU4,CPSF1_MOUSE,Cleavage and polyadenylation specificity factor subunit 1 OS=Mus musculus GN=Cpsf1 PE=1 SV=1 - [CPSF1_MOUSE],8,12,8,13,0.195,0.018,0.024,0.005,0.014,0.012,0.029,0.105,0.386,0.212,0.108,0.015,0.021,0.016,0.022,0.022,0.036,0.032,0.353,0.374,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.907,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q9QXK3,COPG2_MOUSE,Coatomer subunit gamma-2 OS=Mus musculus GN=Copg2 PE=2 SV=1 - [COPG2_MOUSE],8,13,8,19,0.237,0.032,0.043,0.031,0.105,0.135,0.077,0.163,0.025,0.151,0.122,0.047,0.062,0.087,0.178,0.176,0.156,0.079,0.023,0.071,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.507,unclassified,unclassified,N,Vesicles - COP I,,,,,,,,
P99027,RLA2_MOUSE,60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3 - [RLA2_MOUSE],7,6,36,45,0.180,0.056,0.063,0.031,0.061,0.145,0.125,0.093,0.077,0.168,0.126,0.038,0.064,0.061,0.072,0.125,0.096,0.066,0.062,0.290,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,1.000,60S Ribosome,60S Ribosome,N,,,,,,,,,
P63323,RS12_MOUSE,40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=1 SV=2 - [RS12_MOUSE],7,6,26,19,0.357,0.067,0.072,0.031,0.044,0.070,0.065,0.057,0.072,0.166,0.236,0.044,0.063,0.047,0.055,0.066,0.062,0.036,0.065,0.326,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,1.000,40S Ribosome,40S Ribosome,N,,,,,,,,,
P10639,THIO_MOUSE,Thioredoxin OS=Mus musculus GN=Txn PE=1 SV=3 - [THIO_MOUSE],7,8,24,25,0.560,0.107,0.108,0.054,0.070,0.040,0.018,0.020,0.006,0.016,0.476,0.085,0.122,0.093,0.087,0.060,0.036,0.021,0.011,0.011,unknown,Phenotype 5,unknown,unknown,Cytosol,0.852,Cytosol,Cytosol,N,,,,,,,,,Non-Specific
P51569,AGAL_MOUSE,Alpha-galactosidase A OS=Mus musculus GN=Gla PE=1 SV=1 - [AGAL_MOUSE],7,10,24,24,0.000,0.071,0.192,0.141,0.266,0.220,0.060,0.033,0.000,0.015,0.003,0.059,0.168,0.223,0.253,0.196,0.062,0.029,0.002,0.004,unknown,unknown,unknown,unknown,Lysosome,0.809,Lysosome,Lysosome,N,,,,,,,,,
O35658,C1QBP_MOUSE,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus GN=C1qbp PE=1 SV=1 - [C1QBP_MOUSE]",7,7,23,40,0.000,0.008,0.011,0.006,0.026,0.101,0.322,0.257,0.034,0.235,0.000,0.011,0.013,0.018,0.025,0.115,0.349,0.302,0.040,0.125,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P11438,LAMP1_MOUSE,Lysosome-associated membrane glycoprotein 1 OS=Mus musculus GN=Lamp1 PE=1 SV=2 - [LAMP1_MOUSE],7,6,23,30,0.000,0.128,0.216,0.156,0.303,0.119,0.035,0.027,0.000,0.017,0.002,0.092,0.183,0.235,0.251,0.159,0.050,0.022,0.002,0.003,unknown,unknown,unknown,unknown,Lysosome,0.669,unclassified,unclassified,N,,,,,,,,,
Q9DB15,RM12_MOUSE,"39S ribosomal protein L12, mitochondrial OS=Mus musculus GN=Mrpl12 PE=1 SV=2 - [RM12_MOUSE]",7,7,23,20,0.000,0.011,0.014,0.011,0.027,0.099,0.302,0.255,0.059,0.222,0.001,0.007,0.011,0.015,0.023,0.098,0.339,0.307,0.067,0.132,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q01730,RSU1_MOUSE,Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3 - [RSU1_MOUSE],7,12,21,24,0.107,0.236,0.150,0.084,0.117,0.106,0.051,0.053,0.036,0.060,0.128,0.149,0.145,0.130,0.119,0.103,0.072,0.043,0.065,0.047,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.505,Actin cytoskeleton,Actin cytoskeleton,Y,,,,,,,,,High Confidence
Q9CR57,RL14_MOUSE,60S ribosomal protein L14 OS=Mus musculus GN=Rpl14 PE=2 SV=3 - [RL14_MOUSE],7,5,21,11,0.202,0.075,0.073,0.036,0.082,0.095,0.054,0.102,0.081,0.201,0.111,0.048,0.063,0.063,0.080,0.121,0.100,0.054,0.075,0.283,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,1.000,60S Ribosome,60S Ribosome,N,,,,,,,,,
P60335,PCBP1_MOUSE,Poly(rC)-binding protein 1 OS=Mus musculus GN=Pcbp1 PE=1 SV=1 - [PCBP1_MOUSE],7,10,20,18,0.290,0.032,0.046,0.020,0.033,0.031,0.038,0.124,0.223,0.163,0.280,0.045,0.056,0.040,0.044,0.037,0.046,0.049,0.251,0.152,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.573,unclassified,unclassified,N,,,,,,,,,
P70296,PEBP1_MOUSE,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3 - [PEBP1_MOUSE],7,8,20,19,0.559,0.117,0.155,0.049,0.068,0.033,0.010,0.007,0.000,0.003,0.514,0.084,0.123,0.091,0.089,0.055,0.024,0.009,0.007,0.006,unknown,Phenotype 5,unknown,unknown,Cytosol,0.880,Cytosol,Cytosol,N,,,,,,,,,
Q09143,CTR1_MOUSE,High affinity cationic amino acid transporter 1 OS=Mus musculus GN=Slc7a1 PE=2 SV=1 - [CTR1_MOUSE],7,7,20,22,0.000,0.232,0.189,0.104,0.218,0.138,0.059,0.042,0.000,0.018,0.000,0.146,0.131,0.152,0.191,0.202,0.133,0.033,0.007,0.006,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.763,unclassified,Plasma membrane,Y,,,,,,,,,
Q9D1R9,RL34_MOUSE,60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=3 SV=2 - [RL34_MOUSE],7,8,20,40,0.179,0.066,0.062,0.030,0.073,0.128,0.085,0.106,0.095,0.176,0.121,0.045,0.062,0.060,0.078,0.118,0.102,0.058,0.074,0.283,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,1.000,60S Ribosome,60S Ribosome,N,,,,,,,,,
Q60605-2,MYL6_MOUSE,Isoform Smooth muscle of Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 - [MYL6_MOUSE],7,8,19,21,0.102,0.155,0.137,0.066,0.108,0.097,0.082,0.128,0.024,0.102,0.090,0.122,0.096,0.105,0.114,0.180,0.150,0.084,0.030,0.029,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.247,unclassified,unclassified,Y,,Myosin,,,,,,,Putative
P35278,RAB5C_MOUSE,Ras-related protein Rab-5C OS=Mus musculus GN=Rab5c PE=1 SV=2 - [RAB5C_MOUSE],7,8,18,20,0.017,0.157,0.204,0.091,0.220,0.111,0.062,0.068,0.010,0.060,0.023,0.087,0.117,0.167,0.186,0.219,0.105,0.061,0.016,0.018,unknown,unknown,unknown,unknown,Endosome,0.357,unclassified,unclassified,N,,,Rab proteins,Rab proteins,,,,,
Q99JI6;P62835,RAP1B_MOUSE,Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2 - [RAP1B_MOUSE]|Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=2 SV=1 - [RAP1A_MOUSE],7,2,18,4,0.000,0.207,0.186,0.129,0.247,0.108,0.046,0.043,0.009,0.025,0.000,0.164,0.177,0.197,0.189,0.171,0.072,0.026,0.004,0.000,unknown,unknown,unknown,unknown,Plasma membrane,0.771,unclassified,Plasma membrane,N,,,,,,,,,
Q9CQD1,RAB5A_MOUSE,Ras-related protein Rab-5A OS=Mus musculus GN=Rab5a PE=1 SV=1 - [RAB5A_MOUSE],7,8,18,18,0.030,0.136,0.204,0.093,0.239,0.120,0.051,0.063,0.012,0.051,0.032,0.091,0.111,0.143,0.225,0.174,0.117,0.058,0.021,0.029,unknown,unknown,unknown,unknown,Endosome,0.291,unclassified,unclassified,N,,,Rab proteins,Rab proteins,,,,,
